,fixed acidity,volatile acidity,citric acid,chlorides,total sulfur dioxide,density,sulphates,quality
70,7.7,0.63,0.08,0.076,27.0,0.9967,0.54,low
71,7.7,0.67,0.23,0.08800000000000001,96.0,0.9962,0.48,low
72,7.7,0.69,0.22,0.084,94.0,0.9961,0.48,low
73,8.3,0.675,0.26,0.084,43.0,0.9976,0.53,low
74,9.7,0.32,0.54,0.094,83.0,0.9984,0.82,low
75,8.8,0.41,0.64,0.093,42.0,0.9986,0.66,low
76,8.8,0.41,0.64,0.093,42.0,0.9986,0.66,low
77,6.8,0.785,0.0,0.104,30.0,0.9966,0.55,low
78,6.7,0.75,0.12,0.086,80.0,0.9958,0.52,low
79,8.3,0.625,0.2,0.08,119.0,0.9972,1.12,low
80,6.2,0.45,0.2,0.069,15.0,0.9958,0.56,low
81,7.8,0.43,0.7,0.464,67.0,0.9974,1.28,low
82,7.4,0.5,0.47,0.086,73.0,0.997,0.57,low
83,7.3,0.67,0.26,0.401,51.0,0.9969,1.14,low
84,6.3,0.3,0.48,0.069,61.0,0.9959,0.78,low
85,6.9,0.55,0.15,0.076,40.0,0.9961,0.59,low
86,8.6,0.49,0.28,0.11,136.0,0.9972,1.95,low
87,7.7,0.49,0.26,0.062,31.0,0.9966,0.64,low
88,9.3,0.39,0.44,0.107,125.0,0.9978,1.22,low
89,7.0,0.62,0.08,0.076,24.0,0.9978,0.53,low
90,7.9,0.52,0.26,0.079,140.0,0.9964,0.54,low
91,8.6,0.49,0.28,0.11,136.0,0.9972,1.95,low
92,8.6,0.49,0.29,0.11,133.0,0.9972,1.98,low
93,7.7,0.49,0.26,0.062,31.0,0.9966,0.64,low
94,5.0,1.02,0.04,0.045,85.0,0.9938,0.48,low
95,4.7,0.6,0.17,0.058,106.0,0.9932,0.6,low
96,6.8,0.775,0.0,0.102,23.0,0.9965,0.56,low
97,7.0,0.5,0.25,0.07,22.0,0.9963,0.63,low
98,7.6,0.9,0.06,0.079,10.0,0.9967,0.56,low
99,8.1,0.545,0.18,0.08,35.0,0.9972,0.59,low
100,8.3,0.61,0.3,0.084,50.0,0.9972,0.61,low
101,7.8,0.5,0.3,0.075,22.0,0.9959,0.56,low
102,8.1,0.545,0.18,0.08,35.0,0.9972,0.59,low
103,8.1,0.575,0.22,0.077,65.0,0.9967,0.51,low
104,7.2,0.49,0.24,0.07,36.0,0.996,0.48,low
105,8.1,0.575,0.22,0.077,65.0,0.9967,0.51,low
106,7.8,0.41,0.68,0.467,69.0,0.9973,1.31,low
107,6.2,0.63,0.31,0.08800000000000001,64.0,0.9969,0.79,low
108,8.0,0.33,0.53,0.091,80.0,0.9976,0.8,low
109,8.1,0.785,0.52,0.122,153.0,0.9969,0.69,low
110,7.8,0.56,0.19,0.104,47.0,0.9964,0.93,low
111,8.4,0.62,0.09,0.084,108.0,0.9964,0.66,low
112,8.4,0.6,0.1,0.085,111.0,0.9964,0.66,low
113,10.1,0.31,0.44,0.08,46.0,0.9988,0.67,low
114,7.8,0.56,0.19,0.104,47.0,0.9964,0.93,low
115,9.4,0.4,0.31,0.09,62.0,0.9966,0.63,low
116,8.3,0.54,0.28,0.077,40.0,0.9978,0.61,low
117,7.8,0.56,0.12,0.08199999999999999,28.0,0.997,0.5,low
118,8.8,0.55,0.04,0.119,56.0,0.9962,0.6,low
119,7.0,0.69,0.08,0.097,89.0,0.9959,0.54,low
120,7.3,1.07,0.09,0.17800000000000002,89.0,0.9962,0.57,low
121,8.8,0.55,0.04,0.119,56.0,0.9962,0.6,low
122,7.3,0.695,0.0,0.075,13.0,0.998,0.52,low
123,8.0,0.71,0.0,0.08,34.0,0.9976,0.53,low
124,7.8,0.5,0.17,0.08199999999999999,102.0,0.996,0.48,low
125,9.0,0.62,0.04,0.146,90.0,0.9984,0.7,low
126,8.2,1.33,0.0,0.081,12.0,0.9964,0.49,low
127,8.1,1.33,0.0,0.08199999999999999,12.0,0.9964,0.48,low
128,8.0,0.59,0.16,0.065,16.0,0.9962,0.92,high
129,6.1,0.38,0.15,0.07200000000000001,19.0,0.9955,0.57,low
130,8.0,0.745,0.56,0.118,134.0,0.9968,0.66,low
131,5.6,0.5,0.09,0.049,99.0,0.9937,0.63,low
132,5.6,0.5,0.09,0.049,99.0,0.9937,0.63,low
133,6.6,0.5,0.01,0.06,26.0,0.9952,0.58,low
134,7.9,1.04,0.05,0.084,29.0,0.9959,0.55,low
135,8.4,0.745,0.11,0.09,63.0,0.9965,0.82,low
136,8.3,0.715,0.15,0.08900000000000001,52.0,0.9968,0.77,low
137,7.2,0.415,0.36,0.081,45.0,0.9972,0.64,low
138,7.8,0.56,0.19,0.081,105.0,0.9962,0.54,low
139,7.8,0.56,0.19,0.081,108.0,0.9962,0.54,low
140,8.4,0.745,0.11,0.09,63.0,0.9965,0.82,low
141,8.3,0.715,0.15,0.08900000000000001,52.0,0.9968,0.77,low
142,5.2,0.34,0.0,0.05,63.0,0.9916,0.79,low
143,6.3,0.39,0.08,0.066,20.0,0.9954,0.58,low
144,5.2,0.34,0.0,0.05,63.0,0.9916,0.79,low
145,8.1,0.67,0.55,0.117,141.0,0.9968,0.62,low
146,5.8,0.68,0.02,0.087,94.0,0.9944,0.52,low
147,7.6,0.49,0.26,0.236,88.0,0.9968,0.8,low
148,6.9,0.49,0.1,0.07400000000000001,30.0,0.9959,0.58,low
149,8.2,0.4,0.44,0.08900000000000001,43.0,0.9975,0.61,low
150,7.3,0.33,0.47,0.077,11.0,0.9958,0.53,low
151,9.2,0.52,1.0,0.61,69.0,0.9996,2.0,low
152,7.5,0.6,0.03,0.095,99.0,0.995,0.54,low
153,7.5,0.6,0.03,0.095,99.0,0.995,0.54,low
154,7.1,0.43,0.42,0.07,129.0,0.9973,0.72,low
155,7.1,0.43,0.42,0.071,128.0,0.9973,0.71,low
156,7.1,0.43,0.42,0.07,129.0,0.9973,0.72,low
157,7.1,0.43,0.42,0.071,128.0,0.9973,0.71,low
158,7.1,0.68,0.0,0.073,22.0,0.9969,0.5,low
159,6.8,0.6,0.18,0.079,86.0,0.9968,0.57,low
160,7.6,0.95,0.03,0.09,20.0,0.9959,0.56,low
161,7.6,0.68,0.02,0.07200000000000001,20.0,0.9965,1.08,low
162,7.8,0.53,0.04,0.076,31.0,0.9964,0.56,low
163,7.4,0.6,0.26,0.07,121.0,0.9982,0.49,low
164,7.3,0.59,0.26,0.07,121.0,0.9981,0.49,low
165,7.8,0.63,0.48,0.1,96.0,0.9961,0.62,low
166,6.8,0.64,0.1,0.085,101.0,0.9956,0.52,low
167,7.3,0.55,0.03,0.07200000000000001,42.0,0.9956,0.48,low
168,6.8,0.63,0.07,0.08900000000000001,44.0,0.9953,0.55,low
169,7.5,0.705,0.24,0.36,63.0,0.9964,1.59,low
170,7.9,0.885,0.03,0.058,8.0,0.9972,0.33,low
171,8.0,0.42,0.17,0.073,18.0,0.9972,0.61,low
172,8.0,0.42,0.17,0.073,18.0,0.9972,0.61,low
173,7.4,0.62,0.05,0.068,42.0,0.9961,0.57,low
174,7.3,0.38,0.21,0.08,35.0,0.9961,0.47,low
175,6.9,0.5,0.04,0.085,49.0,0.9958,0.78,low
176,7.3,0.38,0.21,0.08,35.0,0.9961,0.47,low
177,7.5,0.52,0.42,0.087,38.0,0.9972,0.61,low
178,7.0,0.805,0.0,0.068,20.0,0.9969,0.56,low
179,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,low
180,8.8,0.61,0.14,0.067,42.0,0.9969,0.59,low
181,8.9,0.61,0.49,0.27,110.0,0.9972,1.02,low
182,7.2,0.73,0.02,0.076,42.0,0.9972,0.52,low
183,6.8,0.61,0.2,0.077,65.0,0.9971,0.58,low
184,6.7,0.62,0.21,0.079,62.0,0.997,0.58,low
185,8.9,0.31,0.57,0.111,85.0,0.9971,0.53,low
186,7.4,0.39,0.48,0.08199999999999999,67.0,0.9972,0.55,low
187,7.7,0.705,0.1,0.084,26.0,0.9976,0.49,low
188,7.9,0.5,0.33,0.084,143.0,0.9968,0.55,low
189,7.9,0.49,0.32,0.08199999999999999,144.0,0.9968,0.55,low
190,8.2,0.5,0.35,0.077,127.0,0.9976,0.62,low
191,6.4,0.37,0.25,0.07400000000000001,49.0,0.9974,0.62,low
192,6.8,0.63,0.12,0.099,126.0,0.9969,0.61,low
193,7.6,0.55,0.21,0.071,28.0,0.9964,0.55,low
194,7.6,0.55,0.21,0.071,28.0,0.9964,0.55,low
195,7.8,0.59,0.33,0.07400000000000001,120.0,0.9968,0.54,low
196,7.3,0.58,0.3,0.07400000000000001,55.0,0.9968,0.59,low
197,11.5,0.3,0.6,0.067,27.0,0.9981,0.97,low
198,5.4,0.835,0.08,0.046,93.0,0.9924,0.85,high
199,6.9,1.09,0.06,0.061,31.0,0.9948,0.43,low
200,9.6,0.32,0.47,0.056,24.0,0.99695,0.82,high
201,8.8,0.37,0.48,0.097,145.0,0.9975,1.03,low
202,6.8,0.5,0.11,0.075,49.0,0.99545,0.79,low
203,7.0,0.42,0.35,0.08800000000000001,39.0,0.9961,0.55,low
204,7.0,0.43,0.36,0.08900000000000001,37.0,0.99615,0.56,low
205,12.8,0.3,0.74,0.095,28.0,0.9994,0.77,high
206,12.8,0.3,0.74,0.095,28.0,0.9994,0.77,high
207,7.8,0.57,0.31,0.069,120.0,0.99625,0.53,low
208,7.8,0.44,0.28,0.1,95.0,0.9966,0.67,low
209,11.0,0.3,0.58,0.054000000000000006,19.0,0.998,0.88,high
210,9.7,0.53,0.6,0.039,19.0,0.99585,0.86,low
211,8.0,0.725,0.24,0.083,62.0,0.99685,0.56,low
212,11.6,0.44,0.64,0.059,15.0,0.998,0.67,low
213,8.2,0.57,0.26,0.06,65.0,0.9959,0.43,low
214,7.8,0.735,0.08,0.092,41.0,0.9974,0.71,low
215,7.0,0.49,0.49,0.06,121.0,0.9974,0.76,low
216,8.7,0.625,0.16,0.101,49.0,0.9962,0.57,low
217,8.1,0.725,0.22,0.07200000000000001,41.0,0.9967,0.55,low
218,7.5,0.49,0.19,0.076,44.0,0.9957,0.54,low
219,7.8,0.53,0.33,0.08,144.0,0.99655,0.6,low
220,7.8,0.34,0.37,0.08199999999999999,58.0,0.9964,0.59,low
221,7.4,0.53,0.26,0.101,72.0,0.9957,0.57,low
222,6.8,0.61,0.04,0.057,10.0,0.99525,0.6,low
223,8.6,0.645,0.25,0.083,28.0,0.99815,0.6,low
224,8.4,0.635,0.36,0.08900000000000001,55.0,0.99745,0.57,low
225,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,low
226,8.9,0.59,0.5,0.337,81.0,0.9964,1.61,low
227,9.0,0.82,0.14,0.08900000000000001,23.0,0.9984,0.63,low
228,7.7,0.43,0.25,0.073,63.0,0.99615,0.58,low
229,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,low
230,5.2,0.48,0.04,0.054000000000000006,106.0,0.9927,0.62,high
231,8.0,0.38,0.06,0.078,49.0,0.99625,0.52,low
232,8.5,0.37,0.2,0.09,58.0,0.998,0.7,low
233,6.9,0.52,0.25,0.081,37.0,0.99685,0.5,low
234,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,low
235,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,low
236,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,low
237,7.2,0.645,0.0,0.097,39.0,0.99675,0.58,low
238,7.2,0.63,0.0,0.097,38.0,0.99675,0.58,low
239,8.2,1.0,0.09,0.065,37.0,0.99685,0.55,low
240,8.9,0.635,0.37,0.263,62.0,0.9971,1.09,low
241,12.0,0.38,0.56,0.093,24.0,0.99925,0.71,low
242,7.7,0.58,0.1,0.102,109.0,0.99565,0.49,low
243,15.0,0.21,0.44,0.075,24.0,1.00005,0.84,high
244,15.0,0.21,0.44,0.075,24.0,1.00005,0.84,high
245,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,low
246,7.1,0.68,0.07,0.075,51.0,0.99685,0.52,low
247,8.2,0.6,0.17,0.07200000000000001,73.0,0.9963,0.45,low
248,7.7,0.53,0.06,0.07400000000000001,39.0,0.99615,0.48,low
249,7.3,0.66,0.0,0.084,23.0,0.9983,0.96,low
250,10.8,0.32,0.44,0.063,37.0,0.9985,0.78,low
251,7.1,0.6,0.0,0.07400000000000001,34.0,0.9972,0.7,low
252,11.1,0.35,0.48,0.09,21.0,0.9986,0.53,low
253,7.7,0.775,0.42,0.092,86.0,0.9959,0.59,low
254,7.1,0.6,0.0,0.07400000000000001,34.0,0.9972,0.7,low
255,8.0,0.57,0.23,0.073,119.0,0.99675,0.57,low
256,9.4,0.34,0.37,0.075,13.0,0.998,0.62,low
257,6.6,0.695,0.0,0.075,56.0,0.9968,0.67,low
258,7.7,0.41,0.76,0.611,45.0,0.9968,1.26,low
259,10.0,0.31,0.47,0.085,33.0,0.99965,0.8,high
260,7.9,0.33,0.23,0.077,45.0,0.99625,0.65,low
261,7.0,0.975,0.04,0.087,67.0,0.99565,0.6,low
262,8.0,0.52,0.03,0.07,35.0,0.99575,0.57,low
263,7.9,0.37,0.23,0.077,49.0,0.9963,0.67,low
264,12.5,0.56,0.49,0.064,27.0,0.9999,0.87,low
265,11.8,0.26,0.52,0.071,10.0,0.9968,0.72,high
266,8.1,0.87,0.0,0.096,61.0,1.00025,0.72,low
267,7.9,0.35,0.46,0.078,37.0,0.9973,0.86,high
268,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,low
269,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,low
270,7.9,0.545,0.06,0.087,61.0,0.9965,0.67,low
271,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,low
272,10.9,0.37,0.58,0.071,65.0,0.99935,0.78,low
273,8.4,0.715,0.2,0.076,38.0,0.99735,0.64,low
274,7.5,0.65,0.18,0.08800000000000001,94.0,0.99915,0.77,low
275,7.9,0.545,0.06,0.087,61.0,0.9965,0.67,low
276,6.9,0.54,0.04,0.077,27.0,0.9987,0.91,low
277,11.5,0.18,0.51,0.104,23.0,0.9996,0.97,low
278,10.3,0.32,0.45,0.073,13.0,0.9976,0.82,high
279,8.9,0.4,0.32,0.087,47.0,0.9991,0.77,high
280,11.4,0.26,0.44,0.071,19.0,0.9986,0.82,low
281,7.7,0.27,0.68,0.358,10.0,0.9972,1.08,high
282,7.6,0.52,0.12,0.067,53.0,0.9971,0.57,low
283,8.9,0.4,0.32,0.087,47.0,0.9991,0.77,high
284,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,low
285,9.9,0.59,0.07,0.102,71.0,1.00015,0.71,low
286,12.0,0.45,0.55,0.073,49.0,0.9997,0.76,low
287,7.5,0.4,0.12,0.092,53.0,0.9967,0.7,low
288,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,high
289,11.6,0.42,0.53,0.105,98.0,1.001,0.95,low
290,8.7,0.52,0.09,0.091,49.0,0.9976,0.86,high
291,11.0,0.2,0.48,0.343,18.0,0.9979,0.71,low
292,10.4,0.55,0.23,0.091,48.0,0.9994,0.64,low
293,6.9,0.36,0.25,0.098,16.0,0.9964,0.6,low
294,13.3,0.34,0.52,0.094,53.0,1.0014,0.81,low
295,10.8,0.5,0.46,0.073,27.0,1.0001,0.64,low
296,10.6,0.83,0.37,0.086,70.0,0.9981,0.52,low
297,7.1,0.63,0.06,0.083,29.0,0.99855,0.73,low
298,7.2,0.65,0.02,0.094,31.0,0.9993,0.8,low
299,6.9,0.67,0.06,0.08,33.0,0.99845,0.71,low
300,7.5,0.53,0.06,0.086,44.0,0.9965,0.59,low
301,11.1,0.18,0.48,0.068,15.0,0.9973,0.64,low
302,8.3,0.705,0.12,0.092,28.0,0.9994,0.72,low
303,7.4,0.67,0.12,0.18600000000000005,21.0,0.996,0.54,low
304,8.4,0.65,0.6,0.112,90.0,0.9973,0.52,low
305,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,low
306,7.6,0.62,0.32,0.08199999999999999,54.0,0.9966,0.52,low
307,10.3,0.41,0.42,0.213,14.0,0.9994,0.62,low
308,10.3,0.43,0.44,0.214,12.0,0.9994,0.63,low
309,7.4,0.29,0.38,0.062,30.0,0.9968,0.53,low
310,10.3,0.53,0.48,0.063,25.0,0.9998,0.59,low
311,7.9,0.53,0.24,0.07200000000000001,105.0,0.996,0.54,low
312,9.0,0.46,0.31,0.093,98.0,0.99815,0.63,low
313,8.6,0.47,0.3,0.076,135.0,0.9976,0.53,low
314,7.4,0.36,0.29,0.087,72.0,0.99645,0.68,low
315,7.1,0.35,0.29,0.096,53.0,0.9962,0.65,low
316,9.6,0.56,0.23,0.102,92.0,0.9996,0.65,low
317,9.6,0.77,0.12,0.08199999999999999,74.0,0.99865,0.64,low
318,9.8,0.66,0.39,0.083,59.0,0.9989,0.71,high
319,9.6,0.77,0.12,0.08199999999999999,74.0,0.99865,0.64,low
320,9.8,0.66,0.39,0.083,59.0,0.9989,0.71,high
321,9.3,0.61,0.26,0.09,87.0,0.99975,0.62,low
322,7.8,0.62,0.05,0.079,18.0,0.99735,0.63,low
323,10.3,0.59,0.42,0.09,73.0,0.999,0.7,low
324,10.0,0.49,0.2,0.071,50.0,1.0015,0.69,low
325,10.0,0.49,0.2,0.071,50.0,1.0015,0.69,low
326,11.6,0.53,0.66,0.121,14.0,0.9978,0.74,high
327,10.3,0.44,0.5,0.107,13.0,0.998,0.83,low
328,13.4,0.27,0.62,0.08199999999999999,21.0,1.0002,0.67,low
329,10.7,0.46,0.39,0.061,15.0,0.9981,0.62,low
330,10.2,0.36,0.64,0.122,41.0,0.998,0.66,low
331,10.2,0.36,0.64,0.122,41.0,0.998,0.66,low
332,8.0,0.58,0.28,0.066,114.0,0.9973,0.54,low
333,8.4,0.56,0.08,0.105,44.0,0.9958,0.52,low
334,7.9,0.65,0.01,0.078,38.0,0.9963,0.74,high
335,11.9,0.695,0.53,0.128,21.0,0.9992,0.84,high
336,8.9,0.43,0.45,0.052000000000000005,16.0,0.9948,0.7,low
337,7.8,0.43,0.32,0.08,58.0,0.9974,0.64,low
338,12.4,0.49,0.58,0.103,99.0,1.0008,1.0,low
339,12.5,0.28,0.54,0.08199999999999999,29.0,0.9997,1.36,high
340,12.2,0.34,0.5,0.066,21.0,1.0,1.18,low
341,10.6,0.42,0.48,0.065,18.0,0.9972,0.87,low
342,10.9,0.39,0.47,0.118,14.0,0.9982,0.75,low
343,10.9,0.39,0.47,0.118,14.0,0.9982,0.75,low
344,11.9,0.57,0.5,0.08199999999999999,32.0,1.0006,0.78,low
345,7.0,0.685,0.0,0.067,63.0,0.9979,0.81,low
346,6.6,0.815,0.02,0.07200000000000001,34.0,0.9955,0.89,high
347,13.8,0.49,0.67,0.093,15.0,0.9986,0.93,low
348,9.6,0.56,0.31,0.08900000000000001,46.0,0.9979,0.92,low
349,9.1,0.785,0.0,0.093,28.0,0.9994,0.86,low
350,10.7,0.67,0.22,0.107,34.0,1.0004,0.98,low
351,9.1,0.795,0.0,0.096,26.0,0.9994,0.83,low
352,7.7,0.665,0.0,0.09,19.0,0.9974,0.73,low
353,13.5,0.53,0.79,0.12,77.0,1.0018,0.77,low
354,6.1,0.21,0.4,0.066,165.0,0.9912,0.59,low
355,6.7,0.75,0.01,0.078,32.0,0.9955,0.61,low
356,11.5,0.41,0.52,0.08,55.0,1.0001,0.88,low
357,10.5,0.42,0.66,0.116,29.0,0.997,0.75,high
358,11.9,0.43,0.66,0.109,23.0,1.0,0.85,high
359,12.6,0.38,0.66,0.08800000000000001,41.0,1.001,0.68,low
360,8.2,0.7,0.23,0.099,81.0,0.9973,0.7,low
361,8.6,0.45,0.31,0.086,50.0,0.9982,0.91,low
362,11.9,0.58,0.66,0.07200000000000001,37.0,0.9992,0.56,low
363,12.5,0.46,0.63,0.071,15.0,0.9988,0.87,low
364,12.8,0.615,0.66,0.083,42.0,1.0022,0.73,high
365,10.0,0.42,0.5,0.107,21.0,0.9979,0.93,low
366,12.8,0.615,0.66,0.083,42.0,1.0022,0.73,high
367,10.4,0.575,0.61,0.076,24.0,1.0,0.69,low
368,10.3,0.34,0.52,0.159,75.0,0.9998,0.64,low
369,9.4,0.27,0.53,0.07400000000000001,18.0,0.9962,1.13,high
370,6.9,0.765,0.02,0.063,63.0,0.9975,0.78,low
371,7.9,0.24,0.4,0.056,25.0,0.9967,0.87,low
372,9.1,0.28,0.48,0.067,46.0,0.9967,1.04,low
373,7.4,0.55,0.22,0.106,72.0,0.9959,0.63,low
374,14.0,0.41,0.63,0.08900000000000001,47.0,1.0014,0.81,low
375,11.5,0.54,0.71,0.124,15.0,0.9984,0.83,high
376,11.5,0.45,0.5,0.078,47.0,1.0003,1.11,low
377,9.4,0.27,0.53,0.07400000000000001,18.0,0.9962,1.13,high
378,11.4,0.625,0.66,0.08800000000000001,24.0,0.9988,0.99,low
379,8.3,0.42,0.38,0.094,60.0,0.9979,0.7,low
380,8.3,0.26,0.42,0.08,27.0,0.9974,0.8,low
381,13.7,0.415,0.68,0.085,43.0,1.0014,0.8,low
382,8.3,0.26,0.42,0.08,27.0,0.9974,0.8,low
383,8.3,0.26,0.42,0.08,27.0,0.9974,0.8,low
384,7.7,0.51,0.28,0.087,54.0,0.998,0.74,low
385,7.4,0.63,0.07,0.09,37.0,0.9979,0.76,low
386,7.8,0.54,0.26,0.08800000000000001,48.0,0.9981,0.74,low
387,8.3,0.66,0.15,0.079,42.0,0.9972,0.54,low
388,7.8,0.46,0.26,0.08800000000000001,53.0,0.9981,0.74,low
389,9.6,0.38,0.31,0.096,49.0,0.9982,0.7,high
390,5.6,0.85,0.05,0.045,88.0,0.9924,0.82,high
391,13.7,0.415,0.68,0.085,43.0,1.0014,0.8,low
392,9.5,0.37,0.52,0.08199999999999999,26.0,0.998,0.51,low
393,8.4,0.665,0.61,0.112,95.0,0.997,0.54,low
394,12.7,0.6,0.65,0.063,25.0,0.9997,0.57,low
395,12.0,0.37,0.76,0.066,38.0,1.0004,0.6,high
396,6.6,0.735,0.02,0.122,124.0,0.9994,0.53,low
397,11.5,0.59,0.59,0.087,49.0,0.9988,0.65,low
398,11.5,0.59,0.59,0.087,49.0,0.9988,0.65,low
399,8.7,0.765,0.22,0.064,42.0,0.9963,0.55,low
400,6.6,0.735,0.02,0.122,124.0,0.9994,0.53,low
401,7.7,0.26,0.3,0.059,38.0,0.9949,0.47,low
402,12.2,0.48,0.54,0.085,64.0,1.0,0.61,low
403,11.4,0.6,0.49,0.085,41.0,0.9994,0.63,low
404,7.7,0.69,0.05,0.075,27.0,0.9974,0.61,low
405,8.7,0.31,0.46,0.059,25.0,0.9966,0.76,low
406,9.8,0.44,0.47,0.063,28.0,0.9981,0.65,low
407,12.0,0.39,0.66,0.093,30.0,0.9996,0.63,high
408,10.4,0.34,0.58,0.174,16.0,0.997,0.7,low
409,12.5,0.46,0.49,0.07,49.0,0.9981,0.57,low
410,9.0,0.43,0.34,0.08,86.0,0.9987,0.62,low
411,9.1,0.45,0.35,0.08,78.0,0.9987,0.62,low
